基准高程,25.0

c1,439915.172,2564697.266,26.111
c2,439917.911,2564702.272,24.239
c3,439922.609,2564708.918,25.036
c4,439927.253,2564714.397,25.374
c5,439933.856,2564721.336,22.732
c6,439944.242,2564725.477,23.293
c7,439953.094,2564720.219,25.397
c8,439947.634,2564715.514,27.465
c9,439943.209,2564711.020,27.638
c10,439938.275,2564707.388,29.124
c11,439932.702,2564706.678,29.869
c12,439928.793,2564703.539,29.774
c13,439922.974,2564690.637,28.675
c14,439930.167,2564686.783,27.206
c15,439934.218,2564681.134,26.689
c16,439932.648,2564691.378,30.353
c17,439935.220,2564695.139,35.303
c18,439936.308,2564696.357,36.586
c19,439940.838,2564699.462,38.018
c20,439947.633,2564704.272,34.518
c21,439951.696,2564708.335,33.014
c22,439958.448,2564716.736,24.673
c23,439965.334,2564710.773,23.266
c24,439961.520,2564707.680,26.946
c25,439957.766,2564703.075,30.886
c26,439955.003,2564698.256,32.250
c27,439951.635,2564694.107,36.501
c28,439951.768,2564690.246,38.464
c29,439948.267,2564688.682,42.251
c30,439946.008,2564685.214,39.994
c31,439947.367,2564680.156,36.927
c32,439946.244,2564672.722,32.586
c33,439952.899,2564671.334,29.133
c34,439955.295,2564674.854,31.076
c35,439957.196,2564678.550,32.372
c36,439958.473,2564682.968,32.195
c37,439957.704,2564692.884,29.845
c38,439957.977,2564699.159,29.959
c39,439960.945,2564704.688,28.542
c40,439963.452,2564710.288,24.361
